B1,B2,B3,B4,B5,B6,B7,Class
10095,9343,8344,8225,8877,9758,9506,1
10042,9289,8323,8229,8979,9893,9616,1
10021,9271,8270,8120,8799,9544,9343,1
10113,9375,8404,8298,9034,9757,9483,1
10079,9367,8379,8299,9038,9930,9606,1
10071,9339,8373,8247,8968,9809,9527,1
10058,9308,8331,8189,8918,9710,9404,1
10005,9284,8272,8071,8757,9436,9122,1
10041,9305,8319,8161,8838,9691,9371,1
10012,9270,8272,8086,8732,9361,9133,1
10078,9338,8356,8195,8881,9713,9399,1
10095,9361,8372,8216,8995,9838,9477,1
10052,9316,8336,8184,8878,9657,9354,1
10069,9312,8314,8144,8796,9561,9240,1
10087,9354,8353,8149,8967,9648,9296,1
10072,9301,8306,8174,8837,9654,9397,1
10091,9324,8340,8194,8902,9740,9412,1
10072,9348,8349,8195,8919,9763,9422,1
10069,9338,8352,8204,8849,9580,9297,1
10092,9365,8365,8151,8870,9609,9319,1
9949,9171,8157,7828,8914,16034,40197,1
10056,9268,8302,7916,8827,13515,28306,1
10052,9308,8285,7873,8679,11691,22492,1
10121,9415,8401,7994,8685,10342,17236,1
10185,9470,8422,8012,8703,10310,17308,1
10318,9598,8642,8238,8772,9269,12230,1
10072,9343,8352,8030,8663,9142,12635,1
10000,9255,8272,7897,8995,12244,27114,1
9863,9079,8071,7787,8152,12271,19443,1
9850,9089,8113,7903,8559,11035,14794,1
9874,9082,8043,7738,7989,10787,15361,1
9835,9077,8014,7676,8020,13630,20340,1
9792,9038,7974,7652,7881,10047,15917,1
9826,9026,7971,7671,8113,20498,35320,1
9916,9160,8206,8022,8411,9641,9595,1
9923,9203,8228,8052,8495,9943,9772,1
9919,9180,8241,8077,8547,9861,9674,1
9923,9185,8216,8020,8354,9716,9681,1
9933,9195,8237,8053,8439,9758,9615,1
9915,9214,8254,8108,8570,9868,9767,1
9908,9193,8233,8057,8437,9812,9772,1
9902,9200,8242,8053,8436,9616,9592,1
9935,9208,8259,8077,8513,9888,9775,1
9918,9206,8252,8076,8521,9905,9759,1
9915,9203,8242,8080,8490,9697,9606,1
9916,9193,8228,8072,8536,9771,9788,1
9918,9194,8254,8116,8604,10059,9926,1
9895,9192,8233,8119,8672,10041,9931,1
9906,9183,8239,8070,8555,9939,9852,1
9910,9185,8244,8114,8629,9859,9782,1
9881,9140,8143,7877,8319,10378,10664,1
9878,9151,8154,7937,8506,10727,10898,1
9897,9189,8185,7947,8449,10635,10935,1
9868,9134,8150,7908,8404,10484,10707,1
9886,9130,8107,7837,8280,10407,10669,1
9878,9101,8073,7789,8212,10288,10541,1
9895,9161,8188,7954,8424,10762,11055,1
9881,9110,8099,7840,8250,10322,10597,1
9904,9159,8146,7922,8421,10697,10920,1
9874,9112,8067,7803,8270,10462,10601,1
