B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,Class
10435,9699,9179,9430,12079,15966,13432,5023,27782,25258,Agriculture/Bare soil
10513,9790,9331,9631,12375,16858,14130,5013,27802,25253,Agriculture/Bare soil
10482,9743,9222,9466,12386,15869,13371,5037,27730,25239,Agriculture/Bare soil
10468,9735,9226,9477,12307,16371,13787,5035,27801,25231,Agriculture/Bare soil
10476,9729,9233,9502,12610,16206,13629,5037,27703,25163,Agriculture/Bare soil
10479,9735,9250,9555,12594,16646,14025,5040,27795,25210,Agriculture/Bare soil
10464,9720,9229,9500,12511,16031,13495,5040,27927,25295,Agriculture/Bare soil
10453,9715,9235,9541,12642,17148,14378,5035,27868,25252,Agriculture/Bare soil
10578,9801,9311,9463,14171,16453,11637,5031,27687,25051,Agriculture/Bare soil
10594,9814,9268,9303,13929,16566,11965,5030,27671,25024,Agriculture/Bare soil
10575,9758,9062,8912,13510,15239,11016,5043,27555,24976,Agriculture/Bare soil
10601,9795,9229,9397,13841,15990,11607,5027,27576,24981,Agriculture/Bare soil
10591,9831,9396,9590,14156,16512,12015,5036,27716,25040,Agriculture/Bare soil
10562,9785,9201,9171,14028,15717,11152,5047,27748,25069,Agriculture/Bare soil
11194,10676,10513,11035,13529,14923,13227,5064,28568,25731,Agriculture/Bare soil
10886,10291,9967,10365,12963,14571,12443,5038,28497,25672,Agriculture/Bare soil
10894,10261,9971,10486,13059,14618,12602,5055,28378,25600,Agriculture/Bare soil
11149,10580,10227,10663,13289,14388,12737,5061,28447,25634,Agriculture/Bare soil
10950,10288,9974,10720,13792,15783,13240,5021,28187,25292,Agriculture/Bare soil
11124,10515,10321,11426,14466,16057,14051,5057,28317,25395,Agriculture/Bare soil
11361,10838,10744,11709,15073,15521,14378,5036,28345,25386,Agriculture/Bare soil
11109,10550,10302,11148,14701,15254,13527,5041,28182,25281,Agriculture/Bare soil
11253,10725,10577,11570,14995,15200,14051,5042,28281,25363,Agriculture/Bare soil
11078,10463,10205,10989,14656,15191,13446,5038,28096,25251,Agriculture/Bare soil
10545,9766,8962,8796,11754,14905,13139,5066,28332,25418,Agriculture/Bare soil
10537,9786,8941,8782,11899,15097,12999,5054,28266,25402,Agriculture/Bare soil
10510,9784,8971,8817,11914,15364,13272,5037,28181,25347,Agriculture/Bare soil
10531,9756,8941,8769,11760,14661,12827,5042,28238,25319,Agriculture/Bare soil
10481,9717,8866,8724,11149,13832,12198,5044,28527,25631,Agriculture/Bare soil
10489,9725,8872,8699,11302,13706,12130,5040,28602,25709,Agriculture/Bare soil
10500,9725,8915,8837,11263,13797,12161,5037,28316,25503,Agriculture/Bare soil
10500,9716,8900,8830,11341,14105,12180,5057,28226,25413,Agriculture/Bare soil
10578,9867,9617,10201,13864,17572,13831,5049,28459,25514,Agriculture/Bare soil
10603,9895,9604,10066,13659,17039,13201,5043,28322,25423,Agriculture/Bare soil
10624,9897,9767,10421,14486,18704,14732,5052,28325,25415,Agriculture/Bare soil
10650,9921,9784,10555,14395,18083,14765,5046,28447,25483,Agriculture/Bare soil
10604,9863,9728,10223,14315,17165,13066,5039,28305,25409,Agriculture/Bare soil
10597,9865,9649,10128,13681,16665,13258,5044,28399,25458,Agriculture/Bare soil
10456,9687,9129,9211,13726,14459,10642,5036,27837,25214,Agriculture/Bare soil
10501,9734,9232,9398,13859,14705,10938,5048,27874,25224,Agriculture/Bare soil
10527,9755,9272,9483,13790,14628,10936,5047,27841,25174,Agriculture/Bare soil
10470,9684,9167,9249,13491,14336,10628,5042,27777,25147,Agriculture/Bare soil
10472,9727,9272,9628,13592,15171,11302,5040,27672,25067,Agriculture/Bare soil
10449,9721,9225,9551,13485,14282,10775,5059,27674,25033,Agriculture/Bare soil
10591,9822,9280,10474,12735,17487,13775,5043,28404,25571,Agriculture/Bare soil
10649,9872,9196,10849,13360,17337,14152,5045,28284,25513,Agriculture/Bare soil
10623,9847,9283,11064,12892,17672,13934,5037,28272,25515,Agriculture/Bare soil
10630,9837,9361,10568,12642,19196,15706,5053,28386,25564,Agriculture/Bare soil
10511,9758,9347,9693,13454,17065,13191,5053,29199,26132,Agriculture/Bare soil
10518,9784,9389,9697,13672,17152,13524,5043,29131,26078,Agriculture/Bare soil
10533,9771,9317,9678,13114,16895,13301,5045,29245,26134,Agriculture/Bare soil
10535,9785,9376,9714,13685,17098,13418,5042,29182,26096,Agriculture/Bare soil
10447,9692,9050,9023,13219,14447,10867,5055,27943,25218,Agriculture/Bare soil
10528,9812,9225,9471,13472,14425,11000,5028,27850,25116,Agriculture/Bare soil
10431,9682,9157,9241,13344,14505,11004,5058,27931,25219,Agriculture/Bare soil
10499,9764,9222,9425,13298,14738,11299,5039,27947,25215,Agriculture/Bare soil
10557,9866,9402,9754,13723,14855,11350,5061,27880,25198,Agriculture/Bare soil
10521,9771,9358,9617,13624,14677,11273,5049,27843,25155,Agriculture/Bare soil
10527,9773,9243,9452,13560,14819,11230,5057,27806,25147,Agriculture/Bare soil
10484,9750,9235,9404,13216,14352,11047,5041,27849,25143,Agriculture/Bare soil
10406,9623,8970,8961,12895,14138,10969,5023,27865,25228,Agriculture/Bare soil
10478,9684,9181,9305,13411,14926,11724,5047,27805,25179,Agriculture/Bare soil
10503,9745,9198,9371,13214,14430,11285,5032,27871,25263,Agriculture/Bare soil
10455,9652,9043,9118,13587,14316,10935,5031,27880,25270,Agriculture/Bare soil
10503,9718,9109,9141,13760,14480,11012,5050,27881,25264,Agriculture/Bare soil
10478,9717,9171,9253,13616,14252,10989,5034,27848,25246,Agriculture/Bare soil
10422,9601,8891,8813,12835,13550,10291,5048,27685,25102,Agriculture/Bare soil
10385,9601,8930,8939,12947,13406,10107,5038,27670,25070,Agriculture/Bare soil
10421,9680,9031,9087,12882,14182,11016,5034,27616,25042,Agriculture/Bare soil
10430,9629,8896,8797,12944,13377,10224,5044,27652,25073,Agriculture/Bare soil
10855,10079,9666,9964,13126,16731,13043,5041,27026,24601,Agriculture/Bare soil
10844,10063,9775,10195,13504,18271,13824,5053,27084,24628,Agriculture/Bare soil
10791,10051,9641,9928,13585,17909,13578,5043,27115,24633,Agriculture/Bare soil
10570,9754,9065,8634,15635,12675,9124,5063,28089,25371,Grassland
10618,9824,9245,9033,15561,14644,10358,5041,28207,25453,Grassland
10626,9840,9265,9138,15328,13628,9973,5040,27954,25309,Grassland
