B1,B2,B3,B4,B5,B6,B7,Class
10096,9193,8204,7765,8995,8838,8182,1
10030,9196,8252,7877,9804,9524,8718,1
10098,9214,8202,7761,8870,8664,8374,1
10138,9240,8198,7745,8640,8635,8334,1
10099,9175,8132,7654,8398,8433,8122,1
10069,9139,8114,7702,8906,9015,8493,1
10177,9265,8204,7753,8537,8550,8374,1
10146,9222,8168,7680,8405,8197,8023,1
10073,9184,8100,7643,8477,8160,7964,1
10072,9160,8058,7548,8318,7959,7629,1
10169,9255,8185,7749,8481,8505,8323,1
10135,9227,8155,7678,8395,8162,7953,1
10130,9208,8145,7671,8627,8325,8049,1
10180,9295,8274,7853,8642,8570,8294,1
10145,9259,8211,7807,8686,8565,8255,1
10250,9365,8267,7863,8496,9203,9241,1
10224,9309,8261,7890,8600,9400,9391,1
10225,9308,8222,7789,8304,8830,8902,1
10253,9373,8298,7901,8590,9203,9112,1
10263,9352,8276,7874,8449,8914,8913,1
10217,9313,8251,7852,8562,9290,9256,1
10276,9385,8277,7918,8624,9159,9091,1
10244,9333,8232,7826,8525,9222,9196,1
10262,9367,8308,7913,8583,9064,9025,1
10233,9354,8290,7903,8637,9169,9029,1
10261,9369,8305,7940,8639,9302,9224,1
10286,9391,8344,7936,8682,9525,9538,1
10306,9410,8347,7970,8700,9369,9310,1
10272,9415,8361,8017,8831,9805,9820,1
10252,9363,8310,7933,8730,9312,9178,1
10296,9418,8391,8043,8850,9502,9385,1
10350,9485,8446,8127,8980,9640,9593,1
10276,9373,8318,7930,8676,9430,9336,1
10314,9404,8354,7990,8795,9686,9572,1
10301,9403,8342,7969,8694,9482,9403,1
10289,9416,8354,7977,8731,9480,9421,1
10294,9427,8354,7980,8787,9671,9550,1
10274,9389,8349,7921,8676,9415,9422,1
10323,9452,8428,8123,9087,9895,9692,1
10253,9417,8368,8015,8845,9736,9558,1
10287,9402,8366,8013,8897,9532,9445,1
10321,9445,8409,8100,9049,9923,9671,1
10299,9407,8392,8081,8955,9583,9316,1
10275,9382,8354,7981,8866,9547,9334,1
10311,9420,8421,8087,8973,9621,9359,1
10679,9919,9198,9181,11995,13078,11378,1
10804,10021,9123,8839,10795,11349,10502,1
10792,10014,9185,9026,11345,11892,10637,1
10666,9904,9135,8987,11593,12175,10482,1
