B1,B2,B3,B4,B5,B6,B7,Class
10486,9581,8301,7644,8052,7285,7025,1
10502,9595,8325,7663,8084,7282,7005,1
10501,9583,8303,7636,8035,7286,7029,1
10500,9578,8294,7628,8020,7225,6989,1
10512,9576,8287,7629,8034,7241,7026,1
10494,9573,8294,7632,8008,7222,6982,1
10516,9588,8307,7635,8042,7275,7030,1
10480,9584,8291,7637,8015,7223,7019,1
10491,9582,8291,7611,7974,7159,6952,1
10594,9672,8459,7867,8423,8050,7734,1
10576,9671,8457,7867,8414,8038,7727,1
10569,9671,8423,7865,8428,8070,7725,1
10568,9668,8431,7861,8394,8011,7698,1
10578,9667,8457,7846,8423,8027,7715,1
10566,9661,8443,7888,8427,8081,7718,1
10575,9748,8726,8213,10251,9467,8289,1
10576,9748,8727,8216,10231,9480,8252,1
10589,9739,8731,8235,10380,9663,8338,1
10578,9746,8739,8230,10473,9687,8307,1
10587,9745,8712,8223,10252,9432,8169,1
10592,9744,8729,8219,10360,9674,8359,1
10604,9751,8733,8220,10376,9578,8303,1
10568,9754,8715,8216,10266,9423,8199,1
10583,9742,8716,8212,10306,9553,8239,1
10584,9739,8715,8215,10315,9640,8332,1
10574,9755,8713,8219,10315,9597,8337,1
10595,9751,8715,8193,10253,9383,8129,1
10466,9630,8503,7949,9209,8528,7627,1
10455,9603,8446,7862,8943,8316,7441,1
10517,9653,8584,8054,9635,9070,7945,1
10476,9631,8526,7991,9310,8603,7635,1
10501,9650,8576,8052,9599,8886,7831,1
10478,9636,8549,8030,9444,8784,7762,1
10511,9674,8419,7816,8199,7604,7232,1
10542,9713,8472,7916,8559,7916,7482,1
10519,9683,8438,7868,8332,7679,7247,1
10541,9688,8498,7950,8741,8383,7880,1
10540,9703,8489,7938,8677,7925,7416,1
10511,9654,8421,7861,8596,8270,7721,1
10532,9677,8488,7982,8894,8666,8008,1
10534,9703,8509,7962,8726,8046,7450,1
10546,9696,8506,7982,8700,8075,7445,1
10584,9724,8554,8098,9094,8805,8176,1
10532,9661,8479,7981,8943,8724,8034,1
10508,9651,8428,7854,8685,8317,7703,1
10567,9708,8548,8087,9094,8851,8221,1
10520,9657,8444,7882,8698,8284,7741,1
10520,9652,8455,7926,8758,8543,7912,1
10554,9666,8460,7918,8688,8401,7848,1
10520,9651,8445,7896,8598,8198,7737,1
10582,9674,8508,7997,8851,8533,7963,1
10546,9667,8439,7822,8041,7180,6886,1
10558,9685,8478,7874,8154,7301,6957,1
10576,9712,8525,7937,8325,7572,7184,1
10579,9687,8470,7870,8112,7281,6976,1
10598,9744,8570,8039,8579,7947,7427,1
10558,9734,8521,7942,8291,7525,7124,1
10568,9740,8549,8021,8555,7925,7419,1
10598,9761,8589,8099,8775,8287,7613,1
10574,9720,8514,7958,8340,7684,7287,1
10576,9727,8557,8047,8609,8166,7627,1
10588,9751,8596,8112,8783,8328,7671,1
10592,9735,8598,8121,8874,8426,7699,1
10546,9660,8478,7843,8318,7359,6934,1
10564,9717,8551,7994,8744,8082,7542,1
10553,9699,8534,7959,8659,7966,7467,1
10553,9670,8506,7894,8463,7632,7178,1
