B1,B2,B3,B4,B5,B6,B7,Class
366,423,530,579,847,1107,1166,1
335,397,499,534,766,1035,1095,1
395,447,548,595,868,1145,1184,1
391,439,538,585,820,1161,1222,1
342,402,514,561,811,1131,1155,1
336,397,497,537,763,1028,1081,1
426,471,571,625,921,1229,1227,1
343,404,513,569,818,1163,1223,1
397,443,525,573,800,1076,1128,1
412,458,540,579,809,1088,1131,1
481,525,622,684,1030,1335,1282,1
423,465,545,596,850,1120,1119,1
356,443,561,637,1018,1400,1409,1
338,421,552,622,939,1342,1363,1
313,395,525,586,888,1177,1191,1
291,389,540,625,989,1322,1288,1
314,416,556,656,1070,1478,1352,1
335,429,569,668,1047,1397,1275,1
348,439,572,669,1035,1397,1319,1
317,423,558,658,1088,1598,1491,1
307,388,520,594,913,1230,1175,1
345,424,542,615,940,1196,1127,1
351,429,548,620,932,1169,1096,1
307,402,545,637,997,1399,1334,1
295,392,534,631,979,1299,1242,1
342,418,543,612,894,1094,1020,1
298,380,492,558,844,1133,1089,1
338,422,520,587,875,1075,1031,1
227,353,542,622,994,1272,1177,1
267,401,590,699,1191,1489,1248,1
236,353,547,641,1034,1310,1167,1
235,351,534,630,1041,1306,1171,1
222,337,513,600,961,1195,1092,1
230,344,527,623,980,1256,1204,1
225,340,512,597,933,1206,1142,1
208,335,521,620,997,1259,1151,1
233,357,542,642,1004,1325,1253,1
277,354,494,536,979,1111,989,1
268,351,495,530,939,1022,966,1
279,374,525,579,1033,1131,1047,1
298,373,510,561,1010,1123,1019,1
255,347,522,577,1062,1198,1104,1
268,345,511,554,1024,1133,1042,1
222,307,453,488,928,1029,964,1
222,306,446,473,867,987,937,1
267,333,450,459,797,885,875,1
242,313,424,434,775,879,856,1
289,361,477,498,856,990,986,1
316,386,504,527,895,1032,1027,1
269,346,487,528,935,1079,1043,1
293,376,515,575,1005,1196,1135,1
229,327,485,532,951,1122,1089,1
243,339,503,584,1054,1254,1183,1
221,320,498,585,1114,1368,1257,1
246,368,569,676,1029,1398,1350,1
240,374,548,669,1063,1475,1395,1
210,322,490,550,1014,1200,1135,1
200,312,509,581,1043,1231,1178,1
282,404,620,732,1133,1713,1553,1
201,316,525,624,1135,1328,1215,1
237,342,489,558,844,1093,1110,1
247,345,503,571,859,1208,1210,1
230,355,573,668,1194,1542,1375,1
227,344,550,627,1166,1448,1342,1
181,303,510,570,1006,1133,1072,1
207,318,509,565,992,1100,1064,1
312,442,634,761,1200,1771,1684,1
332,408,541,595,980,1296,1383,1
325,398,526,563,939,1282,1412,1
352,424,526,563,936,1311,1418,1
334,412,534,579,943,1272,1358,1
350,421,533,580,972,1225,1279,1
321,402,538,588,960,1345,1413,1
325,397,532,590,1001,1286,1328,1
324,400,519,562,959,1267,1310,1
346,406,520,556,933,1150,1197,1
317,396,532,594,985,1241,1247,1
289,375,504,556,933,1157,1167,1
322,396,541,599,995,1289,1322,1
268,372,543,619,1023,1276,1279,1
301,392,548,620,1031,1342,1334,1
267,373,553,632,1065,1342,1325,1
309,385,533,573,1060,1294,1284,1
323,397,529,554,991,1207,1211,1
308,377,500,532,897,1157,1207,1
347,411,516,540,967,1137,1137,1
314,390,516,540,1004,1165,1161,1
296,375,501,526,884,1110,1142,1
292,383,547,583,1042,1232,1172,1
310,393,539,568,1013,1232,1180,1
288,381,541,594,1065,1328,1340,1
282,386,585,633,1197,1329,1199,1
240,348,521,561,1047,1207,1153,1
242,339,513,571,978,1118,1113,1
241,345,531,582,1058,1199,1155,1
225,336,517,565,1065,1296,1242,1
224,335,535,582,1059,1159,1126,1
232,350,545,585,1065,1165,1114,1
195,310,523,566,1083,1226,1151,1
221,332,522,581,1116,1424,1332,1
217,335,543,586,1126,1177,1107,1
334,396,562,587,1139,1263,1184,1
